fn,ln,misc1,misc2,misc3,misc4,misc5,misc6
Aach, Löb (hebr. Juda-L.), geb. ca. 1750 in Trier, gest. 1820 in Hechingen, Hohenzollern. [BHR1],,,
Abarbanell, Hirsch, geb. 1788 in Wschowa (Fraustadt), Großpolen, gest. 26. Feb. 1866 in Leszno (Lissa), Prov. Posen. [BHR1],,
Abarbanell, Jacob Abraham, gest. 1833 in Wschowa (Fraustadt), Prov. Posen. [BHR1],,,,
Abeles, Meyer, geb. ca. 1806 in Mikulov (Nikolsburg), Mähren, gest. 23. Aug. 1887 in Kittsee, Burgenland. [BHR1],,
Abeles, Samuel. [BHR1],,,,,,
Abraham,gest. vor 1830 in Oborniki (Obornik), Prov. Posen. [BHR1],,,,,
Abraham, Salomon, geb. 22. Sept. 1745, gest. 8. Okt. 1831 in Lehrensteinsfeld b. Heilbronn, Württ. [BHR1],,,
Abrahamsohn, Itzig. [BHR1],,,,,,
Adler, Abraham, geb. 11. Aug. 1808 in Kleinsteinach, Unterfranken, gest. 22. Feb. 1880 in Aschaffenburg. [BHR1],,,
Adler, Abraham Jakob, Dr., geb. 9. Juli 1811 in Worms, gest. 5. Jan. 1856 in Bendorf bei Neuwied. [BHR1],,,
Adler, Beer, geb. 1784 in Frankfurt/M., gest. 5. Jan. 1866 das. [BHR1],,,,
Adler, Gabriel, geb. 7. Nov. 1788 in Frankfurt/M., gest. 19. Okt. 1859 in Oberdorf b. Bopfingen, Württ. [BHR1],,,
Adler, Hermann, Dr. (hebr. Naftali Zwi Hirsch A.), geb. 30. Mai 1839 in Hannover, gest. 18. Juli 1911 in London. [BHR1],,,
Adler, Hirsch (hebr. Naftali-H.). [BHR1],,,,,,
Adler, Immanuel, Dr., geb. 29. März 1840 in Essingen, Pfalz, gest. 1911 in Kitzingen, Unterfranken. [BHR1],
Adler, Isaak-Eisik, geb. Okt. 1753, gest. 23. Dez. 1822 in Worms. [BHR1],,,,
Adler, Josef. [BHR1],,,,,,
Adler, Josef Gabriel, geb. ca. 1804 in Kleinsteinach, Unterfranken, gest. 1873 in Burgpreppach. [BHR1],,,
Adler, Lazarus Levi, Dr., geb. 10. Nov. 1810 in Unsleben bei Neustadt/Saale, Unterfranken, gest. 5. Jan. 1886 in Wiesbaden. [BHR1],,
Adler, Liebmann, geb. 9. Jan. 1812 in Stadtlengsfeld, Thüringen, gest. 29. Jan. 1892 in Chicago. [BHR1],,,
Adler, Marcus, geb. 1757 in Frankfurt/M, gest. 14. Apr. 1834 in Hannover. [BHR1],,,,
Adler, Michael, geb. 1815 in Volyně (Wolin), Südböhmen, gest. 13. März 1889 in Prag. [BHR1],,,
Adler, Nathan, genannt Rebb Noosen, geb. 16. Dez. 1741 in Frankfurt/M., gest. 17. Sept. 1800 ebd. [BHR1],,,
Adler, Nathan, Dr., gen. Nethīnath ha-Ger, geb. 15. Jan. 1803 in Hannover, gest. 21. Jan. 1890 in Brighton, England. [BHR1],
Adler, Samuel, Dr., geb. 3. Dez. 1809 in Worms, gest. 9. Juni 1891 in New York. [BHR1],,,
