Name,ID,GND
AACH - Löb (hebr. Juda-L.) ,1,http://d-nb.info/gnd/1068785810
ABARBANELL - Hirsch ,2,http://d-nb.info/gnd/1068983892
ABARBANELL - Jacob Abraham ,3,NA
ABELES - Meyer ,4,http://d-nb.info/gnd/1068978899
ABELES - Samuel ,5,http://d-nb.info/gnd/106897950X
Abraham ,6,http://d-nb.info/gnd/1081667257
ABRAHAM - Salomon ,7,http://d-nb.info/gnd/1117229173
ABRAHAMSOHN - Itzig ,8,http://d-nb.info/gnd/1068994657
ADLER - Abraham ,9,http://d-nb.info/gnd/109469990X
ADLER - Abraham Jakob - Dr. ,10,http://d-nb.info/gnd/1064856276
ADLER - Beer ,11,NA
ADLER - Gabriel ,12,NA
ADLER - Hermann - Dr. (hebr. Naftali Zwi Hirsch A.) ,13,http://d-nb.info/gnd/116008148
ADLER - Hirsch (hebr. Naftali-H.) ,14,NA
ADLER - Immanuel - Dr. ,15,NA
ADLER - Isaak-Eisik ,16,NA
ADLER - Josef ,17,http://d-nb.info/gnd/1068979364
ADLER - Josef Gabriel ,18,NA
ADLER - Lazarus Levi - Dr. ,19,http://d-nb.info/gnd/130273856
ADLER - Liebmann ,20,http://d-nb.info/gnd/136825621
ADLER - Marcus ,21,http://d-nb.info/gnd/1034697579
ADLER - Michael ,22,http://d-nb.info/gnd/1068782277
ADLER - Nathan - genannt „Rebb Noosen“ ,23,http://d-nb.info/gnd/119356066
ADLER - Nathan - Dr. - gen. Nethinath ha-Ger ,24,http://d-nb.info/gnd/116008369
ADLER - Samuel - Dr. ,25,http://d-nb.info/gnd/116008393
ADLER - Samuel Hirsch ,26,NA
ADLER - Alexander Sussmann ,27,NA
ALBU - Joseph Samuel ,28,http://d-nb.info/gnd/1068780665
ALBU - Josua ,29,http://d-nb.info/gnd/133247147
ALEXANDER - Gerson ,30,http://d-nb.info/gnd/1081520604
ALEXANDER - Isaak - auch Isaak ISRAEL ,31,http://d-nb.info/gnd/120105756
ALEXANDER - Juda ,32,NA
ALEXANDER - Simon ,33,http://d-nb.info/gnd/1068979658
ALEXANDERSOHN - Jonathan ,34,http://d-nb.info/gnd/1068782498
ALGASI - Salomon ,35,http://d-nb.info/gnd/1068781513
ALIFELD - Moses Gabriel - Dr. ,36,NA
ALLINA - David ,37,NA
ALSENZ - Getschlik ,38,NA
ALTAR - Bernhard - Dr ,39,NA
ALTAR - Jonas - hebr. Jonathan Halevi A. ,40,http://d-nb.info/gnd/1068786531
ALTENKUNSTADT - Jakob - gen. „Koppel Charif“ ,41,http://d-nb.info/gnd/1068890258
ALTENSTEIN - Chaim; ,42,NA
ALTMANN - Joseph-Josel ,43,NA
AMSON - Leopold ,44,http://d-nb.info/gnd/12970346X
APOLANT - Esra ,45,http://d-nb.info/gnd/1068786604
APOLANT - Samuel - Dr. ,46,http://d-nb.info/gnd/1068786795
APT - Moses ,47,http://d-nb.info/gnd/1068780215
ARENDT - Aron Juda ,48,http://d-nb.info/gnd/1068891440
ARENSTEIN - Samson ,49,http://d-nb.info/gnd/1068786698
ARNHEIM ,50,http://d-nb.info/gnd/1081667001
ARNHEIM - Heymann ,51,http://d-nb.info/gnd/134050436
ARNHEIM - Michael Aron ,52,http://d-nb.info/gnd/1069003131
Aron b. Israel Joseph ,53,http://d-nb.info/gnd/1068781025
Aron b. Juda ,54,http://d-nb.info/gnd/1068786035
ASCH - Abraham ,55,http://d-nb.info/gnd/134052307
ASCH - Joel ,56,http://d-nb.info/gnd/1068780800
ASCH - Juda - gen. „Juda Hechoßid“ ,57,http://d-nb.info/gnd/1068787821
ASCH - Koppel ,58,http://d-nb.info/gnd/103372369X
ASCH - Lazarus ,59,http://d-nb.info/gnd/1068983051
ASCHE - Gerson ,60,http://d-nb.info/gnd/1068781262
ASCHE - Tobias ,61,http://d-nb.info/gnd/1068781637
