fn,ln,geb,gest,BHR
Aach,Löb (hebr. Juda-L.),1750,1820,BHR1
Abarbanell,Hirsch,1788,1866,BHR1
Abarbanell,Jacob Abraham,,1833,BHR1
Abeles,Meyer,1806,1887,BHR1
Abeles,Samuel. ,,,BHR1
Abraham,,,1830,BHR1
Abraham,Salomon,1745,1831,BHR1
Abrahamsohn,Itzig. ,,,BHR1
Adler,Abraham,1808,1880,BHR1
Adler,Abraham Jakob,1811,1856,BHR1
Adler,Beer,1784,1866,BHR1
Adler,Gabriel,1788,1859,BHR1
Adler,Hermann,1839,1911,BHR1
Adler,Hirsch (hebr. Naftali-H.). ,,,BHR1
Adler,Immanuel,1840,1911,BHR1
Adler,Isaak-Eisik,1753,1822,BHR1
Adler,Josef. ,,,BHR1
Adler,Josef Gabriel,1804,1873,BHR1
Adler,Lazarus Levi,1810,1886,BHR1
Adler,Liebmann,1812,1892,BHR1
Adler,Marcus,1757,1834,BHR1
Adler,Michael,1815,1889,BHR1
Adler,Nathan,1741,1800,BHR1
Adler,Nathan,1803,1890,BHR1
Adler,Samuel,1809,1891,BHR1
Adler,Samuel Hirsch,1739,1811,BHR1
Adler,Alexander Sussmann,1816,1869,BHR1
Albu,Joseph Samuel,,1816-1820,BHR1
Albu,Josua,1767,1832,BHR1
Alexander,Gerson. ,,,BHR1
Alexander,Isaak,1722,1802,BHR1
Alexander,Juda,,1791,BHR1
Alexander,Simon. ,,,BHR1
Alexandersohn,Jonathan,1799,1869,BHR1
Algasi,Salomon. ,,,BHR1
Alifeld,Moses Gabriel,1820,,BHR1
Allina,David. ,,,BHR1
Alsenz,Getschlik,1756,1824,BHR1
Altar,Bernhard,,,BHR1
Altar,Jonas,1755,1855,BHR1
Altenkunstadt,Jakob,1765,1835,BHR1
Altmann,Joseph-Josel,1818,1874,BHR1
Amson,Leopold,1817,,BHR1
Apolant,Esra,1765,1845,BHR1
Apolant,Samuel,1823,1898,BHR1
Apt,Moses. ,,,BHR1
Arendt,Aron Juda,1755,1828,BHR1
Arenstein,Samson,1821,1903,BHR1
Arnheim,Heymann,1796,1869,BHR1
Arnheim,Michael Aron. ,,,BHR1
Aron b. Israel Joseph,,1732,1800,BHR1
Aron b. Juda. ,,,,BHR1
Asch,Abraham,1725,1802,BHR1
Asch,Joel,1745,1810,BHR1
Asch,Juda,,1831,BHR1
Asch,Koppel,,1853,BHR1
Asch,Lazarus. ,,,BHR1
Asche,Gerson Zippert,1791,1853,BHR1
Asche,Tobias,1768,1827,BHR1
Ascher,Abraham,1794,1837,BHR1
Ascher,Enoch,,,BHR1
Ascher,Moses,1773,1848,BHR1
Aschkenasi,Elchanan,1713,1780,BHR1
