filename,gnd,nognd
C:\Users\Maral\Desktop\generated_person\Jewish_activists.rdf,35,66
C:\Users\Maral\Desktop\generated_person\Jewish_architects.rdf,43,62
C:\Users\Maral\Desktop\generated_person\Jewish_historians.rdf,185,100
C:\Users\Maral\Desktop\generated_person\Jewish_musicians.rdf,63,133
C:\Users\Maral\Desktop\generated_person\Jewish_writers.rdf,126,91
C:\Users\Maral\Desktop\generated_person\Court_Jews.rdf,22,11
C:\Users\Maral\Desktop\generated_person\Hazzans.rdf,28,75
C:\Users\Maral\Desktop\generated_person\Hebrew_Bible_people.rdf,22,268
C:\Users\Maral\Desktop\generated_person\Jewish_architects.rdf,43,62
C:\Users\Maral\Desktop\generated_person\Jewish_art_collectors.rdf,18,13
C:\Users\Maral\Desktop\generated_person\Jewish_chess_players.rdf,53,191
C:\Users\Maral\Desktop\generated_person\Jewish_composers.rdf,51,65
C:\Users\Maral\Desktop\generated_person\Jewish_educators.rdf,12,28
C:\Users\Maral\Desktop\generated_person\Jewish_engineers.rdf,8,18
C:\Users\Maral\Desktop\generated_person\Jewish_explorers.rdf,16,10
C:\Users\Maral\Desktop\generated_person\Jewish_fashion_designers.rdf,16,42
C:\Users\Maral\Desktop\generated_person\Jewish_inventors.rdf,67,65
C:\Users\Maral\Desktop\generated_person\Jewish_military_personnel.rdf,15,25
C:\Users\Maral\Desktop\generated_person\Jewish_philanthropists.rdf,25,100
C:\Users\Maral\Desktop\generated_person\Jewish_philosophers.rdf,101,37
C:\Users\Maral\Desktop\generated_person\Jewish_physicians.rdf,18,36
C:\Users\Maral\Desktop\generated_person\Jewish_poets.rdf,160,102
C:\Users\Maral\Desktop\generated_person\Jewish_politicians.rdf,17,34
C:\Users\Maral\Desktop\generated_person\Jewish_priests.rdf,4,12
C:\Users\Maral\Desktop\generated_person\Jewish_psychiatrists.rdf,18,2
C:\Users\Maral\Desktop\generated_person\Jewish_scholars.rdf,30,54
C:\Users\Maral\Desktop\generated_person\Jewish_scientists.rdf,117,77
C:\Users\Maral\Desktop\generated_person\Jewish_singers.rdf,58,59
C:\Users\Maral\Desktop\generated_person\Jewish_sportspeople.rdf,8,451
C:\Users\Maral\Desktop\generated_person\Judaic_scholars.rdf,22,20
C:\Users\Maral\Desktop\generated_person\Mohel.rdf,3,8
C:\Users\Maral\Desktop\generated_person\Prophets_in_Judaism.rdf,0,15
C:\Users\Maral\Desktop\generated_person\Rebbetzins.rdf,1,11
